Location;Number of Households (in 1000);Percentage of households with pets;Number of Pet Households (in 1000);Percentage of Dog Owners;Dog Owning Households (1000s);Mean Number of Dogs per household;Dog Population (in 1000);Percentage of Cat Owners;Cat Owning Households;Mean Number of Cats;Cat Population
District of Columbia;287.0;21.9;63.0;13.1;38.0;1.1;42.0;11.6;33.0;1.9;63.0
Iowa;1219.0;53.6;654.0;33.4;407.0;1.5;610.0;30.3;370.0;2.2;805.0
Missouri;2498.0;61.4;1534.0;45.9;1148.0;1.7;1978.0;32.2;805.0;2.1;1653.0
Montana;410.0;61.3;251.0;41.2;169.0;1.7;282.0;33.6;138.0;2.0;277.0
New Jersey;3177.0;50.7;1611.0;32.4;1028.0;1.3;1340.0;25.3;803.0;1.8;1468.0
Minnesota;2163.0;53.0;1146.0;31.9;690.0;1.4;934.0;29.7;643.0;2.0;1264.0
Virginia;3017.0;53.4;1611.0;35.4;1069.0;1.6;1699.0;29.0;876.0;2.1;1855.0
Wisconsin;2350.0;57.5;1352.0;33.9;796.0;1.4;1138.0;33.0;776.0;1.9;1510.0
Idaho;568.0;62.0;352.0;42.7;242.0;1.5;357.0;34.6;196.0;2.0;393.0
Arkansas;1148.0;62.4;716.0;47.9;550.0;2.0;1097.0;30.6;351.0;2.3;810.0
Nebraska;710.0;51.3;364.0;33.8;240.0;1.6;374.0;31.3;222.0;2.3;514.0
New Mexico;773.0;67.6;523.0;46.0;356.0;2.0;703.0;32.0;247.0;2.2;533.0
North Dakota;272.0;53.9;147.0;36.1;98.0;1.4;139.0;31.4;85.0;2.0;174.0
South Dakota;333.0;65.6;219.0;42.8;143.0;1.5;220.0;39.1;130.0;2.2;290.0
New Hampshire;508.0;56.8;289.0;30.3;154.0;1.4;212.0;34.2;174.0;1.8;309.0
Pennsylvania;5172.0;56.9;2942.0;32.9;1702.0;1.5;2485.0;33.8;1748.0;2.0;3544.0
Utah;930.0;51.2;476.0;29.4;273.0;1.5;410.0;24.6;229.0;2.0;455.0
California;12974.0;52.9;6865.0;32.8;4260.0;1.6;6687.0;28.3;3687.0;1.9;7118.0
Colorado;1986.0;61.3;1217.0;42.5;845.0;1.6;1349.0;32.3;642.0;1.9;1191.0
Rhode Island;434.0;53.0;230.0;29.3;127.0;1.3;161.0;27.6;120.0;1.8;212.0
Vermont;265.0;70.8;188.0;37.7;100.0;1.4;142.0;49.5;131.0;1.8;234.0
Connecticut;1337.0;54.4;728.0;28.3;379.0;1.3;507.0;31.9;427.0;1.9;796.0
Illinois;5026.0;51.8;2602.0;32.4;1627.0;1.5;2365.0;26.3;1321.0;1.9;2453.0
Maryland;2169.0;52.3;1134.0;30.8;667.0;1.4;915.0;29.8;645.0;2.6;1677.0
Florida;7609.0;54.4;4138.0;35.7;2718.0;1.5;4210.0;27.3;2079.0;2.1;4375.0
Georgia;3798.0;55.1;2093.0;40.1;1522.0;1.6;2479.0;27.3;1037.0;2.1;2162.0
Massachusetts;2618.0;50.4;1318.0;23.6;618.0;1.4;850.0;34.1;892.0;1.8;1593.0
West Virginia;765.0;62.1;475.0;45.8;350.0;1.8;648.0;38.1;291.0;2.2;628.0
Mississippi;1115.0;56.4;629.0;45.2;504.0;1.7;846.0;29.1;324.0;2.1;668.0
Ohio;4661.0;57.4;2677.0;36.6;1708.0;1.6;2730.0;33.3;1553.0;2.4;3786.0
Delaware;334.0;56.6;189.0;33.7;113.0;1.4;163.0;33.7;113.0;1.7;187.0
Nevada;986.0;55.6;548.0;37.1;366.0;1.6;578.0;30.3;299.0;2.1;625.0
North Carolina;3701.0;56.4;2089.0;40.3;1491.0;1.7;2518.0;29.5;1090.0;2.0;2220.0
Oklahoma;1479.0;58.9;872.0;43.2;638.0;2.1;1327.0;32.6;482.0;2.2;1041.0
Alabama;1828.0;59.5;1088.0;44.1;807.0;1.7;1410.0;27.4;501.0;2.5;1252.0
Wyoming;221.0;61.8;137.0;38.8;86.0;1.5;125.0;33.9;75.0;1.9;144.0
New York;7512.0;50.6;3802.0;29.0;2177.0;1.4;3054.0;29.1;2189.0;1.9;4261.0
Oregon;1505.0;63.6;957.0;38.8;584.0;1.6;917.0;40.2;605.0;2.0;1185.0
Texas;9002.0;58.5;5265.0;44.0;3960.0;1.8;7163.0;28.3;2544.0;2.2;5565.0
Tennessee;2583.0;59.6;1540.0;44.1;1140.0;1.9;2157.0;29.8;770.0;2.3;1749.0
Indiana;2478.0;59.9;1484.0;39.9;989.0;1.6;1619.0;34.4;852.0;2.2;1912.0
Arizona;2515.0;59.5;1497.0;40.1;1008.0;1.8;1798.0;29.6;743.0;1.9;1438.0
Kansas;1133.0;61.0;691.0;42.3;480.0;1.6;774.0;33.3;378.0;1.9;731.0
Kentucky;1777.0;61.6;1094.0;45.9;816.0;1.9;1531.0;36.8;654.0;2.1;1349.0
Maine;548.0;62.9;345.0;34.6;190.0;1.6;300.0;46.4;254.0;1.9;498.0
Michigan;3804.0;55.4;2108.0;34.6;1318.0;1.5;2036.0;31.3;1192.0;2.0;2420.0
South Carolina;1759.0;54.1;951.0;38.6;678.0;1.8;1191.0;27.8;490.0;2.1;1039.0
Washington;2632.0;62.7;1649.0;36.3;954.0;1.7;1609.0;39.0;1028.0;1.8;1844.0
Louisiana;1702.0;55.1;937.0;36.4;619.0;1.8;1115.0;25.9;441.0;2.0;877.0
